rank,prefix,type,language,loclang,good,total,edits,admins,users,activeusers,images,stubratio,timestamp, 
839,fi.wikimedia.org,special,Finnish,,186,816,7519,11,1941,4,14,0.2279,2025-05-02 18:01:54,
840,km,wikibooks,Khmer,&#6039;&#6070;&#6047;&#6070;&#6017;&#6098;&#6040;&#6082;&#6042;,183,1034,9888,1,2976,4,15,0.1770,2025-05-03 04:01:59,
841,la,wikibooks,Latin,Latina,181,1387,10652,1,2832,4,0,0.1305,2025-05-03 04:02:01,
842,shn,wikivoyage,Shan,&#4213;&#4226;&#4194;&#4121;&#4154;&#4152;&#4112;&#4230;&#4152;&#4124;&#4144;&#4100;&#4154;,180,2036,8004,2,643,6,0,0.0884,2025-05-03 06:00:06,
843,za,wiktionary,Zhuang,Cuengh,179,550,12772,1,903,0,0,0.3255,2025-05-03 01:01:47,
844,nr,wikipedia,Southern Ndebele,isiNdebele seSewula,177,512,2561,0,601,17,0,0.3457,2025-05-03 00:12:19,
845,foundation.wikimedia.org,special,Multilingual,Multilingual,175,142933,499416,24,192922,174,886,0.0012,2025-05-02 18:01:57,
846,ti,wiktionary,Tigrinya,&#4725;&#4877;&#4653;&#4763;,173,1211,9414,1,2473,2,0,0.1429,2025-05-03 01:01:25,
847,kk,wikibooks,Kazakh,&#1179;&#1072;&#1079;&#1072;&#1179;&#1096;&#1072;,163,1598,9516,1,3319,6,1,0.1020,2025-05-03 04:02:03,
848,mr,wikibooks,Marathi,&#2350;&#2352;&#2366;&#2336;&#2368;,159,1772,13702,1,3441,5,1,0.0897,2025-05-03 04:02:05,
849,zh-min-nan,wikisource,Min Nan,B&#226;n-l&#226;m-g&#250;,153,3539,11014,1,2734,3,2,0.0432,2025-05-03 02:02:49,
850,ang,wikibooks,Anglo-Saxon,Englisc,153,1185,5829,1,1991,2,150,0.1291,2025-05-03 04:02:07,
851,te,wikibooks,Telugu,&#3108;&#3142;&#3122;&#3137;&#3095;&#3137;,152,1116,24866,1,3210,6,1,0.1362,2025-05-03 04:02:10,
852,wikimania2005.wikimedia.org,special,Multilingual,Multilingual,151,745,8581,1,232,0,60,0.2027,2025-05-02 18:01:59,
853,ik,wiktionary,Inupiak,I&#241;upiak,143,606,6796,1,1102,0,0,0.2360,2025-05-03 01:01:42,
854,sa,wikiquote,Sanskrit,&#2360;&#2306;&#2360;&#2381;&#2325;&#2371;&#2340;&#2350;&#2381;,138,4807,18364,1,2569,6,0,0.0287,2025-05-03 05:03:04,
855,be,wikibooks,Belarusian,&#1041;&#1077;&#1083;&#1072;&#1088;&#1091;&#1089;&#1082;&#1072;&#1103;,138,1087,7787,1,3876,5,0,0.1270,2025-05-03 04:02:12,
856,is,wikiquote,Icelandic,&#205;slenska,133,1281,12756,1,2631,4,1,0.1038,2025-05-03 05:01:46,
857,et,wikibooks,Estonian,Eesti,132,1618,19938,1,2965,4,129,0.0816,2025-05-03 04:02:14,
858,tn,wiktionary,Setswana,Setswana,125,990,8704,1,3829,3,0,0.1263,2025-05-03 01:02:22,
859,bcl,wikisource,Central Bicolano,Bikol,119,2172,9326,1,275,6,0,0.0548,2025-05-03 02:02:53,
860,ia,wikibooks,Interlingua,Interlingua,119,828,6067,1,2194,4,0,0.1437,2025-05-03 04:02:16,
861,pt.wikimedia.org,special,Portuguese,,114,447,2616,15,22,4,106,0.2550,2025-03-16 18:01:01,
862,tcy,wikisource,Tulu,&#3236;&#3265;&#3251;&#3265; &#3245;&#3262;&#3255;&#3270;,109,3522,18513,2,359,15,0,0.0309,2025-05-03 02:02:51,
863,bcl,wikiquote,Central Bicolano,Bikol,109,1857,18846,1,725,8,0,0.0587,2025-05-03 05:00:09,
864,ml,wikibooks,Malayalam,&#3374;&#3378;&#3375;&#3390;&#3379;&#3330;,107,3384,18355,1,4460,6,24,0.0316,2025-05-03 04:02:18,
865,mk.wikimedia.org,special,Macedonian,,106,400,1811,5,1101,2,47,0.2650,2025-05-02 18:02:01,
866,oc,wikibooks,Occitan,Occitan,99,740,5800,1,1950,2,1,0.1338,2025-05-03 04:02:21,
867,gor,wikiquote,Gorontalo,Hulontalo,97,1609,15614,1,287,15,0,0.0603,2025-05-03 05:03:30,
868,api.wikimedia.org,special,English,English,87,396,2164,4,23861,11,0,0.2197,2025-05-02 18:02:03,
869,lv,wikibooks,Latvian,Latvie&#353;u,82,361,4796,1,659,0,4,0.2271,2025-05-03 04:02:23,
870,ne,wikibooks,Nepali,&#2344;&#2375;&#2346;&#2366;&#2354;&#2368;,80,2014,18494,1,4821,6,4,0.0397,2025-05-03 04:02:25,
871,www.wikimedia.hu,special,Hungarian,,80,547,1926,4,16,2,196,0.1463,2025-05-02 18:02:07,
872,pa,wikibooks,Punjabi,&#2602;&#2672;&#2588;&#2622;&#2604;&#2624;,78,1164,6093,1,2132,4,0,0.0670,2025-05-03 04:02:27,
873,hy,wikibooks,Armenian,&#1344;&#1377;&#1397;&#1381;&#1408;&#1381;&#1398;,76,1786,10794,1,5454,5,35,0.0426,2025-05-03 04:02:29,
874,usability.wikimedia.org,special,English,,76,1411,10272,1,2971,2,224,0.0539,2025-05-02 18:02:09,
875,ee.wikimedia.org,special,Estonian,,72,477,2690,5,2026,3,49,0.1509,2025-05-02 18:02:11,
876,tg,wikibooks,Tajik,&#1058;&#1086;&#1207;&#1080;&#1082;&#1251;,56,866,3628,1,1932,3,0,0.0647,2025-05-03 04:02:32,
877,br,wikiquote,Breton,Brezhoneg,50,919,5489,1,2190,4,0,0.0544,2025-05-03 05:01:42,
878,ku,wikibooks,Kurdish,Kurd&#238; / &#1603;&#1608;&#1585;&#1583;&#1740;,45,601,6888,1,2149,2,0,0.0749,2025-05-03 04:02:34,
879,mr,wikiquote,Marathi,&#2350;&#2352;&#2366;&#2336;&#2368;,44,923,8916,1,2443,5,1,0.0477,2025-05-03 05:02:06,
880,fy,wikibooks,West Frisian,Frysk,41,615,5178,1,2438,6,7,0.0667,2025-05-03 04:02:40,
881,ie,wikibooks,Interlingue,Interlingue,41,559,5130,1,1221,0,0,0.0733,2025-05-03 04:02:36,
882,mg,wikibooks,Malagasy,Malagasy,39,541,4971,1,1888,2,0,0.0721,2025-05-03 04:02:38,
883,tig,wikipedia,Tigre,&#4725;&#4877;&#4652;,39,463,6209,1,615,8,0,0.0842,2025-05-03 00:12:22,
884,cv,wikibooks,Chuvash,&#1063;&#1233;&#1074;&#1072;&#1096; - (&#264;&#259;va&#349;),37,637,7249,1,2169,3,5,0.0581,2025-05-03 04:02:43,
885,af,wikiquote,Afrikaans,Afrikaans,35,1304,10524,1,3176,7,0,0.0268,2025-05-03 05:01:49,
886,af,wikibooks,Afrikaans,Afrikaans,33,1146,7481,1,2758,5,0,0.0288,2025-05-03 04:02:45,
887,bs,wikibooks,Bosnian,Bosanski,32,750,7118,1,2646,3,8,0.0427,2025-05-03 04:02:47,
888,cy,wikibooks,Welsh,Cymraeg,30,687,5148,1,2246,4,0,0.0437,2025-05-03 04:02:49,
889,,special,Romanian,,26,47,402,7,12,0,0,0.5532,2025-05-02 18:02:13,
890,th,wikinews,Thai,&#3652;&#3607;&#3618;,25,1560,4417,1,1050,0,0,0.0160,2025-05-03 03:01:15,
891,www.wikimedia.cz,special,Czech,,24,53,225,3,8,8,17,0.4528,2025-03-16 18:00:41,
892,zh-min-nan,wikibooks,Min Nan,B&#226;n-l&#226;m-g&#250;,16,406,6228,1,876,2,4,0.0394,2025-05-03 04:02:51,
893,as,wiktionary,Assamese,&#2437;&#2488;&#2478;&#2496;&#2527;&#2494;,16,258,4959,1,584,0,0,0.0620,2025-05-03 01:02:57,
894,ast,wikiquote,Asturian,Asturianu,15,296,4932,1,654,0,0,0.0507,2025-05-03 05:01:51,
895,ky,wikibooks,Kirghiz,K&#305;rg&#305;zca,14,535,5177,1,3028,2,0,0.0262,2025-05-03 04:02:54,
896,cr,wikipedia,Cree,Nehiyaw,13,2326,40717,2,21533,14,0,0.0056,2025-05-03 00:12:24,
897,sd,wikinews,Sindhi,&#1587;&#1606;&#1676;&#1610;&#1548;&#32;&#1587;&#1606;&#1583;&#1726;&#1740;&#32;&#1548;&#32;&#2360;&#2367;&#2344;&#2381;&#2343;,13,2095,5731,1,791,0,0,0.0062,2025-05-03 03:01:17,
898,ang,wikiquote,Anglo-Saxon,Englisc,13,509,5027,1,876,1,0,0.0255,2025-05-03 05:03:10,
899,ht,wikisource,Haitian,Kr&#232;yol ayisyen,12,116,2082,2,503,0,2,0.1034,2025-05-03 02:02:55,
900,lb,wikiquote,Luxembourgish,L&#235;tzebuergesch,10,335,5090,2,660,0,0,0.0299,2025-05-03 05:02:55,
901,,special,Hindi,&#2361;&#2367;&#2344;&#2381;&#2342;&#2368;,10,53,586,4,18,0,0,0.1887,2025-05-02 18:02:15,
902,fo,wikisource,Faroese,F&#248;royskt,9,555,3554,1,2412,5,0,0.0162,2025-05-03 02:02:57,
903,sw,wikibooks,Swahili,Kiswahili,9,207,3574,1,590,0,0,0.0435,2025-05-03 04:02:56,
904,nz.wikimedia.org,special,English,,9,132,1903,1,375,0,2,0.0682,2025-05-02 18:02:18,
905,ng,wikipedia,Ndonga,Oshiwambo,8,442,5928,1,2408,0,0,0.0181,2025-05-03 00:12:26,
906,pa.us.wikimedia.org,special,English,,7,278,1718,1,452,1,3,0.0252,2025-05-02 18:02:20,
907,,special,English,,6,1214,3330,3,125,2,1,0.0049,2025-05-02 18:02:22,
908,zh-min-nan,wikiquote,Min Nan,B&#226;n-l&#226;m-g&#250;,6,437,6325,1,808,0,0,0.0137,2025-05-03 05:01:22,
909,cho,wikipedia,Choctaw,Choctaw,6,201,4221,1,1832,2,0,0.0299,2025-05-03 00:12:28,
910,ve.wikimedia.org,special,Spanish,Espa&ntilde;ol,6,57,480,4,10,0,0,0.1053,2025-05-02 18:02:24,
911,ast,wikibooks,Asturian,Asturianu,5,271,3985,1,720,0,6,0.0185,2025-05-03 04:02:58,
912,uz,wikibooks,Uzbek,O&#8216;zbek,4,395,4141,3,978,0,1,0.0101,2025-05-03 04:03:04,
913,co,wikibooks,Corsican,Corsu,4,251,4611,1,651,0,3,0.0159,2025-05-03 04:03:00,
914,mh,wikipedia,Marshallese,Ebon,4,206,4213,1,2160,1,0,0.0194,2025-05-03 00:12:31,
915,kj,wikipedia,Kuanyama,Kuanyama,4,114,3549,1,1390,0,0,0.0351,2025-05-03 00:12:33,
916,qu,wikibooks,Quechua,Runa Simi,4,76,4751,1,445,0,1,0.0526,2025-05-03 04:03:07,
917,got,wikibooks,Gothic,&#66354;&#66367;&#66372;&#66361;&#66371;&#66362;,4,65,3292,1,413,0,0,0.0615,2025-05-03 04:03:02,
918,ii,wikipedia,Sichuan Yi,&#41351;&#41561;,3,187,11654,1,2053,3,0,0.0160,2025-05-03 00:12:37,
919,za,wikibooks,Zhuang,Cuengh,3,142,11049,1,487,0,0,0.0211,2025-05-03 04:03:11,
920,ho,wikipedia,Hiri Motu,Hiri Motu,3,129,3787,1,1611,0,0,0.0233,2025-05-03 00:12:35,
921,nah,wikibooks,Nahuatl,Nahuatl,3,72,4685,1,431,0,0,0.0417,2025-05-03 04:03:09,
922,am,wikiquote,Amharic,&#4768;&#4635;&#4653;&#4763;,2,411,5027,1,1000,0,0,0.0049,2025-05-03 05:01:33,
923,su,wikibooks,Sundanese,Basa Sunda,2,337,4687,1,793,1,0,0.0059,2025-05-03 04:03:13,
924,vo,wikibooks,Volap&#252;k,Volap&#252;k,2,297,4155,1,790,0,0,0.0067,2025-05-03 04:03:15,
925,co,wikiquote,Corsican,Corsu,2,206,3821,1,550,0,0,0.0097,2025-05-03 05:02:46,
926,kn,wikibooks,Kannada,&#3221;&#3240;&#3277;&#3240;&#3233;,2,157,3765,1,561,0,7,0.0127,2025-05-03 04:03:20,
927,advisory.wikimedia.org,special,English,English,2,130,462,1,475,0,0,0.0154,2025-05-02 18:02:27,
928,wa,wikibooks,Walloon,Walon,2,129,4023,2,508,0,0,0.0155,2025-05-03 04:03:18,
929,mai.wikimedia,special,Maithili,,2,96,199,3,13,0,0,0.0208,2025-05-02 18:02:31,
930,,special,Chinese,,2,80,203,1,30,0,0,0.0250,2025-05-02 18:02:29,
931,bs,wiktionary,Bosnian,Bosanski,1,1005,72803,5,3870,10,0,0.0010,2025-05-03 01:04:24,
932,ky,wikiquote,Kirghiz,K&#305;rg&#305;zca,1,506,4168,1,2069,3,0,0.0020,2025-05-03 05:02:59,
933,na,wikibooks,Nauruan,Ekakair&#361; Naoero,1,246,3759,1,578,0,0,0.0041,2025-05-03 04:03:24,
934,lrc,wikipedia,Northern Luri,&#1604;&#1738;&#1585;&#1740; &#1588;&#1608;&#1605;&#1575;&#1604;&#1740;,1,240,140074,1,5059,1,0,0.0042,2025-05-03 00:12:39,
935,zu,wikibooks,Zulu,isiZulu,1,203,3803,1,610,0,0,0.0049,2025-05-03 04:03:29,
936,nds,wikibooks,Low Saxon,Plattd&#252;&#252;tsch,1,188,3297,1,593,0,0,0.0053,2025-05-03 04:03:22,
937,ps,wikibooks,Pashto,&#1662;&#1690;&#1578;&#1608;,1,139,3597,1,505,0,0,0.0072,2025-05-03 04:03:31,
938,kk,wikiquote,Kazakh,&#1179;&#1072;&#1079;&#1072;&#1179;&#1096;&#1072;,1,137,2564,1,469,0,0,0.0073,2025-05-03 05:01:31,
939,xh,wikibooks,Xhosan,isiXhosa,1,130,3525,1,509,0,0,0.0077,2025-05-03 04:03:26,
940,mus,wikipedia,Muscogee,Muskogee,1,115,3604,1,2362,0,0,0.0087,2025-05-03 00:12:42,
941,ga,wikiquote,Irish,Gaeilge,1,85,5022,1,411,1,0,0.0118,2025-05-03 05:01:15,
942,thankyou.wikipedia.org,special,Multilingual,Multilingual,1,83,1034,4,13,0,0,0.0120,2025-05-02 18:02:36,
943,pi,wiktionary,Pali,&#2346;&#2366;&#2367;&#2356;,1,54,3324,1,476,0,0,0.0185,2025-05-03 01:01:36,
944,az.wikimedia.org,special,Azerbaijani,Az&#601;rbaycanca,1,53,242,3,14,0,0,0.0189,2025-05-02 18:02:38,
945,ang,wikisource,Anglo-Saxon,Englisc,1,40,1669,1,730,0,0,0.0250,2025-05-03 02:03:00,
946,gr.wikimedia.org,special,Greek,&#917;&#955;&#955;&#951;&#957;&#953;&#954;&#940;,1,15,35,5,12,0,0,0.0667,2025-05-02 18:02:33,
947,na,wikipedia,Nauruan,dorerin Naoero,0,1813,90002,1,12099,1,0,0.0000,2025-05-03 00:12:46,
948,ak,wikipedia,Akan,Akana,0,1714,29895,1,13720,2,0,0.0000,2025-05-03 00:12:48,
949,pih,wikipedia,Norfolk,Norfuk,0,1033,45564,1,12848,4,0,0.0000,2025-05-03 00:11:31,
950,wo,wikiquote,Wolof,Wollof,0,535,5657,2,1521,0,0,0.0000,2025-05-03 05:01:17,
951,aa,wikipedia,Afar,Afar,0,510,4692,1,4106,1,0,0.0000,2025-05-03 00:12:44,
952,quality.wikimedia.org,special,English,,0,329,1585,1,621,0,1,0.0000,2025-05-02 18:02:40,
953,ab,wiktionary,Abkhazian,&#1040;&#1191;&#1089;&#1091;&#1072;,0,249,8983,1,596,0,0,0.0000,2025-05-03 01:03:02,
954,tk,wikibooks,Turkmen,&#1578;&#1585;&#1603;&#1605;&#1606; / &#1058;&#1091;&#1088;&#1082;&#1084;&#1077;&#1085;,0,241,3752,1,580,0,0,0.0000,2025-05-03 04:04:21,
955,sn,wiktionary,Shona,chiShona,0,234,4955,1,398,0,0,0.0000,2025-05-03 01:02:29,
956,bh,wiktionary,Bihari,&#2349;&#2379;&#2332;&#2346;&#2369;&#2352;&#2368;,0,231,4857,1,518,1,0,0.0000,2025-05-03 01:02:00,
957,dz,wiktionary,Dzongkha,&#3911;&#3964;&#3908;&#3851;&#3905;,0,230,4878,1,467,0,0,0.0000,2025-05-03 01:02:51,
958,tw,wiktionary,Twi,Twi,0,226,4850,1,491,0,0,0.0000,2025-05-03 01:02:18,
959,to,wiktionary,Tongan,faka Tonga,0,217,4866,1,437,0,0,0.0000,2025-05-03 01:01:23,
960,bi,wiktionary,Bislama,Bislama,0,216,4799,1,477,0,0,0.0000,2025-05-03 01:01:58,
961,yo,wiktionary,Yoruba,Yor&#249;b&#225;,0,211,4932,1,441,0,0,0.0000,2025-05-03 01:02:11,
962,mn,wikibooks,Mongolian,&#1052;&#1086;&#1085;&#1075;&#1086;&#1083;,0,206,3772,1,652,0,0,0.0000,2025-05-03 04:04:12,
963,hz,wikipedia,Herero,Otsiherero,0,175,4484,1,3782,1,0,0.0000,2025-05-03 00:12:51,
964,bo,wiktionary,Tibetan,Bod skad,0,169,4787,1,488,0,0,0.0000,2025-05-03 01:02:55,
965,kr,wikipedia,Kanuri,Kanuri,0,162,4642,1,5501,1,0,0.0000,2025-05-03 00:12:53,
966,ar.wikimedia.org,special,Spanish,,0,162,548,2,1898,2,0,0.0000,2025-05-02 18:02:42,
967,lb,wikibooks,Luxembourgish,L&#235;tzebuergesch,0,132,3562,2,521,1,0,0.0000,2025-05-03 04:04:04,
968,rm,wiktionary,Raeto Romance,Rumantsch,0,123,4822,2,469,0,0,0.0000,2025-05-03 01:02:33,
969,yo,wikibooks,Yoruba,Yor&#249;b&#225;,0,111,3586,1,512,0,0,0.0000,2025-05-03 04:03:59,
970,xh,wiktionary,Xhosan,isiXhosa,0,104,5147,1,484,0,0,0.0000,2025-05-03 01:02:13,
971,aa,wiktionary,Afar,Afar,0,100,6806,1,597,0,0,0.0000,2025-05-03 01:03:04,
972,sc,wiktionary,Sardinian,Sardu,0,95,6065,1,499,0,0,0.0000,2025-05-03 01:03:06,
973,ak,wikibooks,Akan,Akana,0,92,3426,1,465,0,0,0.0000,2025-05-03 04:03:44,
974,ln,wikibooks,Lingala,Lingala,0,88,3493,1,385,0,0,0.0000,2025-05-03 04:04:08,
975,bm,wiktionary,Bambara,Bamanankan,0,87,4138,2,451,0,0,0.0000,2025-05-03 01:01:56,
976,gu,wikibooks,Gujarti,&#2711;&#2753;&#2716;&#2736;&#2750;&#2724;&#2752;,0,86,3636,1,513,0,0,0.0000,2025-05-03 04:03:40,
977,ug,wikibooks,Uyghur,Oyghurque,0,82,3459,1,382,0,0,0.0000,2025-05-03 04:03:57,
978,ak,wiktionary,Akan,Akana,0,80,4365,1,685,0,0,0.0000,2025-05-03 01:02:05,
979,se,wikibooks,Northern Sami,S&#225;megiella,0,80,3472,2,440,0,0,0.0000,2025-05-03 04:04:19,
980,aa,wikibooks,Afar,Afar,0,79,3422,1,734,1,0,0.0000,2025-05-03 04:03:42,
981,bo,wikibooks,Tibetan,Bod skad,0,77,3513,1,423,0,2,0.0000,2025-05-03 04:03:51,
982,mi,wikibooks,Maori,M&#257;ori,0,74,3487,1,429,0,0,0.0000,2025-05-03 04:04:10,
983,cr,wiktionary,Cree,Nehiyaw,0,74,3356,1,475,0,0,0.0000,2025-05-03 01:01:49,
984,av,wiktionary,Avar,&#1040;&#1074;&#1072;&#1088;,0,73,4863,1,516,0,0,0.0000,2025-05-03 01:02:02,
985,my,wikibooks,Burmese,Myanmasa,0,73,3462,1,488,0,0,0.0000,2025-05-03 04:04:14,
986,vo,wikiquote,Volap&uuml;k,Volap&#252;k,0,72,4426,1,386,0,0,0.0000,2025-05-03 05:02:24,
987,as,wikibooks,Assamese,&#2437;&#2488;&#2478;&#2496;&#2527;&#2494;,0,71,3430,1,433,0,0,0.0000,2025-05-03 04:03:46,
988,ga,wikibooks,Irish,Gaeilge,0,70,4081,1,441,0,0,0.0000,2025-05-03 04:03:35,
989,tt,wikiquote,Tatar,Tatar&#231;a / &#1058;&#1072;&#1090;&#1072;&#1088;&#1095;&#1072;,0,69,4357,1,381,0,0,0.0000,2025-05-03 05:02:15,
990,za,wikiquote,Zhuang,Cuengh,0,68,11816,1,406,0,0,0.0000,2025-05-03 05:02:37,
991,ch,wiktionary,Chamorro,Chamoru,0,68,3446,1,501,0,0,0.0000,2025-05-03 01:01:54,
992,tk,wikiquote,Turkmen,&#1578;&#1585;&#1603;&#1605;&#1606; / &#1058;&#1091;&#1088;&#1082;&#1084;&#1077;&#1085;,0,67,3383,1,400,0,0,0.0000,2025-05-03 05:02:13,
993,ug,wikiquote,Uyghur,&#1574;&#1735;&#1610;&#1594;&#1735;&#1585; &#1578;&#1609;&#1604;&#1609;,0,66,4314,1,382,0,0,0.0000,2025-05-03 05:00:15,
994,ks,wikibooks,Kashmiri,&#2325;&#2358;&#2381;&#2350;&#2368;&#2352;&#2368; - (&#1603;&#1588;&#1605;&#1610;&#1585;&#1610;,0,64,3451,2,380,0,0,0.0000,2025-05-03 04:04:02,
995,rn,wiktionary,Kirundi,Kirundi,0,63,4704,1,491,0,0,0.0000,2025-05-03 01:01:34,
996,ch,wikibooks,Chamorro,Chamoru,0,60,3318,1,390,0,0,0.0000,2025-05-03 04:03:53,
997,bm,wikiquote,Bambara,Bamanankan,0,57,3092,2,415,0,0,0.0000,2025-05-03 05:01:40,
998,cr,wikiquote,Cree,Nehiyaw,0,56,3381,1,364,0,0,0.0000,2025-05-03 05:01:24,
999,mh,wiktionary,Marshallese,Ebon,0,55,3364,1,414,0,0,0.0000,2025-05-03 01:01:38,
1000,kw,wikiquote,Cornish,Kernewek/Karnuack,0,54,4185,1,359,0,0,0.0000,2025-05-03 05:02:31,
1001,bm,wikibooks,Bambara,Bamanankan,0,54,3997,2,390,0,0,0.0000,2025-05-03 04:03:37,
1002,bi,wikibooks,Bislama,Bislama,0,54,3253,1,403,0,0,0.0000,2025-05-03 04:03:48,
1003,ks,wikiquote,Kashmiri,&#2325;&#2358;&#2381;&#2350;&#2368;&#2352;&#2368; - (&#1603;&#1588;&#1605;&#1610;&#1585;&#1610;,0,52,4231,2,367,0,0,0.0000,2025-05-03 05:02:42,
1004,na,wikiquote,Nauruan,dorerin Naoero,0,49,4298,1,347,0,0,0.0000,2025-05-03 05:02:28,
1005,rm,wikibooks,Romansh,Rumantsch,0,49,3239,2,416,0,0,0.0000,2025-05-03 04:04:17,
1006,gn,wikibooks,Guarani,Ava&#241;e'&#7869;,0,48,4726,1,415,0,0,0.0000,2025-05-03 04:03:55,
1007,ay,wikibooks,Aymara,Aymar,0,45,6001,1,406,0,0,0.0000,2025-05-03 04:03:33,
1008,qu,wikiquote,Quechua,Runa Simi,0,33,4678,1,332,0,0,0.0000,2025-05-03 05:02:26,
1009,nds,wikiquote,Low Saxon,Plattd&#252;&#252;tsch,0,32,2994,1,352,0,0,0.0000,2025-05-03 05:02:02,
1010,kr,wikiquote,Kanuri,Kanuri,0,27,3237,1,337,1,0,0.0000,2025-05-03 05:02:33,
1011,nup,wikipedia,Nupe,Nupe,0,17,24,1,77,5,0,0.0000,2025-05-03 00:00:01,
1012,,special,English,,0,14,60,1,44197655,71,0,0.0000,2025-05-02 18:02:44,
1013,ng.wikimedia.org,special,English,English,0,6,10,3,9,0,0,0.0000,2025-05-02 18:02:49,
1014,,special,Punjabi,,0,5,5,3,10,0,0,0.0000,2025-05-02 18:02:47,
